Lam	Lam
og	og
piggvar	piggvar
på	på
bryllupsmenyen	bryllupsmenyen
|	$|

Kamskjell	Kamskjell
,	$,
piggvar	piggvar
og	og
lammefilet	lammefilet
sto	stå
på	på
menyen	meny
under	under
den	den
kongelige	kongelig
gallamiddagen	gallamiddagen
.	$.

Og	og
til	til
dessert	dessert
:	$:
Parfait	Parfait
à	à
la	la
Mette-Marit	Mette-Marit
.	$.

Forretten	Forretten
lyder	lyde
navnet	navn
"	$"
Coquilles	Coquilles
St.	St.
Jacques	Jacques
Prince	Prince
de	de
Norvege	Norvege
"	$"
,	$,
som	som
er	være
grillet	grillet
kamskjell	kamskjell
på	på
norsk	norsk
spekeskinke	spekeskinke
-	$-
med	med
trøffelhonningvinaigrette	trøffelhonningvinaigrette
,	$,
ruccolasalat	ruccolasalat
og	og
ristede	ristede
gresskarkjerner	gresskarkjerner
.	$.

Deretter	deretter
fulgte	følge
"	$"
Turbot	Turbot
au	au
Four	Four
-	$-
purée	purée
de	de
chou-fleur	chou-fleur
"	$"
.	$.

Det	det
er	være
ovnsbakt	ovnsbakt
piggvar	piggvar
dandert	dandert
med	med
ingefærmarinert	ingefærmarinert
klasetomatbåter	klasetomatbåter
,	$,
blomkålpuré	blomkålpuré
drysset	drysset
med	med
finhakket	finhakket
gressløk	gressløk
,	$,
og	og
fransk	fransk
smørsaus	smørsaus
med	med
appelsin	appelsin
og	og
fenikkelsmak	fenikkelsmak
.	$.

Hovedretten	Hovedretten
er	være
"	$"
Filet	Filet
d'agneau	d'agneau
-	$-
girolles	girolles
a	a
la	la
creme	creme
"	$"
:	$:

Ytrefilet	Ytrefilet
av	av
norsk	norsk
lam	lam
,	$,
kremet	kremet
kantareller	kantareller
i	i
nepe	nepe
,	$,
bakt	bakt
minisquash	minisquash
,	$,
lettrøkte	lettrøkte
rødbeter	rødbeter
,	$,
rissolepoteter	rissolepoteter
og	og
rosmarinsjy	rosmarinsjy
.	$.

Og	og
desserten	desserten
,	$,
"	$"
Parfait	Parfait
à	à
la	la
Mette-Marit	Mette-Marit
-	$-
coulis	coulis
de	de
muron	muron
arctique	arctique
"	$"
består	bestå
av	av
Snøfrisk	Snøfrisk
og	og
yoghurtisparfait	yoghurtisparfait
med	med
friske	frisk
norske	norsk
bringebær	bringebær
,	$,
blåbær	blåbær
og	og
bjørnebær	bjørnebær
,	$,
samt	samt
multemousse	multemousse
på	på
multecoulis	multecoulis
.	$.

Benket	Benket
til	til
bryllupsmiddag	bryllupsmiddag
|	$|

Litt	litt
forsinket	forsinket
,	$,
klokken	klokke
20.25	20.25
,	$,
satte	sette
bryllupsgjestene	bryllupsgjestene
seg	seg
til	til
bords	bord
for	for
å	å
nyte	nyte
gallamiddagen	gallamiddagen
på	på
Slottet	Slottet
.	$.

I	i
galla	galla
og	og
utsøkte	utsøkt
festantrekk	festantrekk
kom	komme
de	de
til	til
bryllupsmiddagen	bryllupsmiddagen
,	$,
kongelige	kongelig
,	$,
presidenter	president
,	$,
familiemedlemmer	familiemedlem
,	$,
venner	venn
og	og
representanter	representant
for	for
regjering	regjering
,	$,
storting	storting
og	og
viktige	viktig
norske	norsk
institusjoner	institusjon
.	$.

De	de
ble	bli
ønsket	ønske
velkommen	velkommen
av	av
dronning	dronning
Sonja	Sonja
,	$,
kong	kong
Harald	Harald
,	$,
kronprins	kronprins
Haakon	Haakon
og	og
kronprinsesse	kronprinsesse
Mette-Marit	Mette-Marit
.	$.

Det	det
kongelige	kongelig
bryllup	bryllup
er	være
i	i
høy	høy
grad	grad
også	også
en	en
privat	privat
begivenhet	begivenhet
.	$.

Det	det
viste	vise
prosesjonen	prosesjonen
til	til
gallamiddagen	gallamiddagen
på	på
Slottet	Slottet
og	og
plasseringen	plasseringen
ved	ved
hovedbordet	hovedbordet
.	$.

Først	først
i	i
prosesjonen	prosesjonen
gikk	gå
kong	kong
Harald	Harald
og	og
brudens	brudens
mor	mor
,	$,
Marit	Marit
Tjessem	Tjessem
.	$.

Bak	bak
fulgte	følge
brudens	brudens
far	far
,	$,
