sikkerhetsråd	sikkerhetsråd
.	$.

Et	en
rammeverk	rammeverk
for	for
forhandlinger	forhandling
ble	bli
etablert	etablere
gjennom	gjennom
de	de
såkalte	såkalt
sekspartsforhandlingene	sekspartsforhandlingene
.	$.

Jeg	jeg
var	være
blant	blant
dem	de
som	som
håpet	håpe
at	at
dette	dette
også	også
kunne	kunne
bli	bli
en	en
plattform	plattform
for	for
å	å
diskutere	diskutere
humanitære	humanitær
og	og
menneskerettslige	menneskerettslig
spørsmål	spørsmål
.	$.

Det	det
viste	vise
seg	seg
å	å
bli	bli
en	en
haltende	haltende
prosess	prosess
som	som
til	til
slutt	slutt
brøt	bryte
sammen	sammen
i	i
desember	desember
i	i
fjor	fjor
.	$.

Nord-Korea	Nord-Korea
har	ha
etter	etter
den	den
tid	tid
skremt	skremme
,	$,
truet	true
og	og
provosert	provosere
omverdenen	omverden
med	med
raketter	rakett
og	og
prøvesprengninger	prøvesprengninger
.	$.

Igjen	igjen
sto	stå
verden	verden
samlet	samle
i	i
fordømmelsen	fordømmelsen
.	$.

Det	det
har	ha
den	den
siste	sist
tiden	tid
vært	være
en	en
rekke	rekke
initiativer	initiativ
fra	fra
Nord-Korea	Nord-Korea
som	som
kan	kunne
tyde	tyde
på	på
at	at
militærdiktaturet	militærdiktaturet
nå	nå
åpner	åpne
for	for
en	en
mer	mye
dialogrettet	dialogrettet
linje	linje
-	$-
i	i
hvert	hver
fall	fall
overfor	overfor
USA	USA
.	$.

Kanskje	kanskje
har	ha
den	den
unisone	unisone
fordømmelsen	fordømmelsen
bidratt	bidra
til	til
at	at
Kim	Kim
Jung-Il	Jung-Il
nå	nå
viser	vise
tegn	tegn
til	til
oppmykning	oppmykning
?	$?

Nå	nå
må	måtte
verdenssamfunnet	verdenssamfunn
jobbe	jobbe
samlet	samle
og	og
målrettet	målrettet
for	for
å	å
gi	gi
solskinnspolitikkens	solskinnspolitikkens
grunnleggende	grunnleggende
ideer	idé
om	om
dialog	dialog
og	og
engasjement	engasjement
en	en
ny	ny
sjanse	sjanse
.	$.

Men	men
dialogen	dialog
med	med
Nord-Korea	Nord-Korea
må	måtte
handle	handle
om	om
mer	mye
enn	enn
atomvåpen	atomvåpen
;	$;
målet	mål
må	måtte
også	også
være	være
å	å
bedre	bedre
levekårene	levekår
og	og
respekten	respekt
for	for
menneskerettighetene	menneskerettighet
i	i
landet	land
.	$.

Vi	vi
kan	kunne
ikke	ikke
tillate	tillate
at	at
det	det
nordkoreanske	nordkoreansk
folks	folk
lidelser	lidelse
nok	nok
en	en
gang	gang
havner	havne
i	i
skyggen	skygge
av	av
atomvåpenspørsmålet	atomvåpenspørsmålet
.	$.

Storting	storting
nesten	nesten
uten	uten
næringsliv	næringsliv
|	$|

Minstefradraget	Minstefradraget
.	$.

Et	en
nytt	ny
storting	storting
er	være
på	på
plass	plass
,	$,
men	men
representasjon	representasjon
fra	fra
næringslivet	næringsliv
forblir	forbli
lav	lav
.	$.

Dette	dette
taper	tape
Norge	Norge
på	på
.	$.

Før	før
valget	valg
så	se
Norges	Norge
Hovedorganisasjon	Hovedorganisasjon
på	på
bakgrunnen	bakgrunn
