
The	The
New	New
York	York
Times'	Times'
512	512
veier	vei
til	til
Det	Det
Hvite	Hvite
Hus	Hus
er	være
både	både
vakker	vakker
og	og
svært	svær
informativ	informativ
.	$.

Kudos	Kudos
!	$!

Det	det
er	være
fire	fire
stater	stat
som	som
blir	bli
interessante	interessant
å	å
følge	følge
med	med
på	på
på	på
østkysten	østkyst
:	$:

Virginia	Virginia
(	$(
13	13
valgmenn	valgmann
)	$)
,	$,
North	North
Carolina	Carolina
(	$(
15	15
)	$)
,	$,
New	New
Hampshire	Hampshire
(	$(
9	9
)	$)
og	og
Florida	Florida
(	$(
29	29
)	$)
.	$.

Mitt	Mitt
Romney	Romney
må	måtte
i	i
realiteten	realitet
vinne	vinne
Florida	Florida
,	$,
Virginia	Virginia
og	og
North	North
Carolina	Carolina
for	for
å	å
ha	ha
en	en
sjanse	sjanse
til	til
å	å
vinne	vinne
.	$.

North	North
Carolina	Carolina
er	være
tradisjonelt	tradisjonell
en	en
sterk	sterk
republikansk	republikansk
stat	stat
,	$,
men	men
Obama	Obama
klarte	klare
å	å
vinne	vinne
den	den
i	i
2008	2008
.	$.

Nå	nå
mener	mene
de	de
fleste	mange
analytikere	analytiker
at	at
den	den
er	være
en	en
relativt	relativ
sikker	sikker
stat	stat
for	for
Romney	Romney
.	$.

Demografiske	Demografiske
endringer	endring
i	i
Virginia	Virginia
gjør	gjøre
at	at
staten	stat
er	være
mer	mye
i	i
spill	spill
enn	enn
tidligere	tidlig
.	$.

Det	det
blir	bli
tøft	tøff
for	for
Romney	Romney
å	å
komme	komme
seg	seg
til	til
270	270
uten	uten
statens	stat
13	13
valgmenn	valgmann
.	$.

BT	BT
følger	følge
Obamas	Obama
valgvake	valgvake
i	i
Chicago	Chicago
med	med
journalist	journalist
Christina	Christina
Pletten	Pletten
og	og
fotograf	fotograf
Marita	Marita
Aarekol	Aarekol
.	$.

Tidligere	tidlig
i	i
dag	dag
traff	treffe
teamet	team
Kevin	Kevin
Wilmot	Wilmot
,	$,
som	som
stemte	stemme
på	på
Romney	Romney
.	$.

Republikanerne	Republikanerne
håper	håpe
på	på
høyt	høy
oppmøte	oppmøte
fra	fra
sine	sin
egne	egen
,	$,
og	og
at	at
desillusjonerte	desillusjonerte
Obama-supportere	Obama-supportere
ikke	ikke
gidder	gidde
å	å
stemme	stemme
.	$.

Vi	vi
er	være
også	også
i	i
Washington	Washington
DC	DC
.	$.

Der	der
traff	treffe
vi	vi
blant	blant
annet	annen
71	71
år	år
gamle	gammel
Donna	Donna
Jones	Jones
,	$,
som	som
har	ha
jobbet	jobbe
for	for
gjenvalg	gjenvalg
for	for
Obama	Obama
.	$.

De	de
første	første
resultatene	resultat
ventes	vente
inn	inn
klokken	klokke
01.00	01.00
norsk	norsk
tid	tid
.	$.

Blant	blant
disse	disse
er	være
den	den
viktige	viktig
vippestaten	vippestat
Virginia	Virginia
.	$.

Romney	Romney
bør	burde
vinne	vinne
denne	denne
statens	stat
13	13
valgmannstemmer	valgmannstemme
,	$,
skal	skulle
han	han
ha	ha
en	en
sjanse	sjanse
til	til
å	å
bli	bli
president	president
.	$.

Obama	Obama
vant	vinne
Virginia	Virginia
i	i
2008	2008
,	$,
men	men
flertallet	flertall
stemte	stemme
republikansk	republikansk
i	i
valgene	valg
som	som
Bush	Bush
vant	vinne
i	i
2000	2000
og	og
2004	2004
.	$.

I	i
år	år
har	ha
det	det
vært	være
svært	svær
