Barnets	Barnets
advokat	advokat
reagerer	reagere
kraftig	kraftig
.	$.

«	$"
Han	han
presenterte	presentere
seg	seg
som	som
byrettsdommer	byrettsdommer
,	$,
men	men
sa	si
at	at
han	han
ringte	ringe
som	som
privatperson	privatperson
.	$.

Jeg	jeg
fikk	få
fortalt	fortalt
at	at
min	min
klient	klient
,	$,
barnet	barn
,	$,
ikke	ikke
snakket	snakke
sant	sann
om	om
faren	fare
.	$.

Jeg	jeg
oppfattet	oppfatte
at	at
han	han
brukte	bruke
sin	sin
posisjon	posisjon
som	som
dommer	dommer
til	til
å	å
prøve	prøve
å	å
påvirke	påvirke
meg	jeg
»	$"
,	$,
sa	si
Monica	Monica
Mæland	Mæland
til	til
BT	BT
den	den
gang	gang
.	$.

I	i
dag	dag
er	være
Mæland	Mæland
byrådsleder	byrådsleder
,	$,
men	men
fortsatt	fortsatt
kritisk	kritisk
til	til
Bertelsen	Bertelsen
.	$.

-	$-
Saken	sak
var	være
spesiell	spesiell
,	$,
og	og
jeg	jeg
var	være
en	en
ganske	ganske
ung	ung
advokat	advokat
på	på
denne	denne
tiden	tid
.	$.

Jeg	jeg
oppfattet	oppfatte
henvendelsen	henvendelse
fra	fra
Bertelsen	Bertelsen
som	som
utidig	utidig
.	$.

Mæland	Mæland
er	være
bare	bare
en	en
av	av
mange	mange
maktpersoner	maktperson
som	som
har	ha
hatt	ha
befatning	befatning
med	med
konflikten	konflikt
rundt	rundt
Tor	Tor
Bertelsen	Bertelsen
.	$.

Etter	etter
at	at
hun	hun
ble	bli
politiker	politiker
på	på
heltid	heltid
,	$,
har	ha
byrådslederen	byrådsleder
fulgt	følge
saken	sak
gjennom	gjennom
mediene	medium
.	$.

-	$-
Det	det
er	være
svært	svær
viktig	viktig
at	at
man	man
kan	kunne
stole	stole
på	på
at	at
dommere	dommer
er	være
uavhengige	uavhengig
,	$,
nøytrale	nøytral
og	og
opptrer	opptre
etter	etter
beste	god
evne	evne
.	$.

En	en
dommer	dommer
skal	skulle
ha	ha
legitimitet	legitimitet
og	og
tillit	tillit
.	$.

Basert	basere
på	på
den	den
informasjonen	informasjon
jeg	jeg
har	ha
fått	få
,	$,
virker	virke
det	det
som	som
om	om
Bertelsen	Bertelsen
ikke	ikke
har	ha
den	den
nødvendige	nødvendig
tilliten	tillit
,	$,
sier	si
Monica	Monica
Mæland	Mæland
.	$.

Bertelsen	Bertelsen
selv	selv
avviser	avvise
at	at
det	det
var	være
uklokt	uklok
å	å
involvere	involvere
seg	seg
så	så
sterkt	sterk
i	i
saken	sak
,	$,
selv	selv
om	om
han	han
var	være
dommer	dommer
.	$.

Tvert	tvert
imot	imot
.	$.

Han	han
mente	mene
saksbehandlingen	saksbehandling
var	være
uforsvarlig	uforsvarlig
,	$,
og	og
at	at
det	det
eneste	eneste
han	han
gjorde	gjøre
var	være
å	å
be	be
om	om
at	at
opplysningene	opplysning
ble	bli
sjekket	sjekke
grundig	grundig
.	$.

-	$-
Jeg	jeg
tolket	tolke
det	det
som	som
min	min
plikt	plikt
.	$.

Men	men
jeg	jeg
opplevde	oppleve
at	at
man	man
ikke	ikke
ønsket	ønske
informasjon	informasjon
fra	fra
personer	person
som	som
er	være
kritiske	kritisk
til	til
tvangsvedtak	tvangsvedtak
fra	fra
barnevernet	barnevern
som	som
treffes	treffes
på	på
uforsvarlig	uforsvarlig
grunnlag	grunnlag
.	$.

Det	det
er	være
sterkt	sterk
betenkelig	betenkelig
hvis	hvis
en	en
dommer	dommer
ikke	ikke
skal	skulle
kunne	kunne
kommunisere	kommunisere
med	med
omverdenen	omverden
og	og
vise	vise
samfunnsengasjement	samfunnsengasjement
,	$,
sier	si
han	han
.	$.

I	i
Bergen	Bergen
kommune	kommune
har	ha
tilliten	tillit
til	til
Bertelsen	Bertelsen
lenge	lenge
vært	være
fraværende	fraværende
.	$.

I	i
2006	2006
krevde	kreve
kommunen	kommune
at	at
tingrettsdommeren	tingrettsdommeren
for	for
all	all
fremtid	fremtid
ble	bli
nektet	nekte
å	å
dømme	dømme
tvister	tvister
hvor	hvor
kommunen	kommune
er	være
involvert	involvere
.	$.

Bakgrunnen	bakgrunn
var	være
at	at
Bertelsen	Bertelsen
var	være
satt	sette
opp	opp
som	som
dommer	dommer
i	i
en	en
barnevernssak	barnevernssak
,	$,
og	og
kommuneadvokaten	kommuneadvokaten
slo	slå
fast	fast
at	at
Bertelsen	Bertelsen
ikke	ikke
hadde	ha
nødvendig	nødvendig
tillit	tillit
.	$.

Høyesterett	Høyesterett
avslo	avslå
anmodningen	anmodningen
.	$.

En	en
traumatisk	traumatisk
opplevelse	opplevelse
.	$.

Bertelsen	Bertelsen
mener	mene
det	det
blir	bli
brukt	bruke
mot	mot
ham	han
at	at
han	han
har	ha
stilt	stille
opp	opp
for	for
bekjente	bekjent
.	$.

Det	det
gjorde	gjøre
han	han
blant	blant
annet	annen
i	i
1997	1997
.	$.

«	$"
Jeg	jeg
vil	ville
klage	klage
på	på
at	at
han	han
i	i
skjul	skjul
tok	ta
seg	seg
inn	inn
i	i
huset	hus
,	$,
hvor	hvor
jeg	jeg
bodde	bo
sammen	sammen
med	med
mine	min
barn	barn
.	$.

Han	han
nektet	nekte
å	å
presentere	presentere
seg	seg
,	$,
og	og
forlot	forlate
huset	hus
uten	uten
å	å
si	si
hvem	hvem
han	han
var	være
.	$.

Jeg	jeg
vil	ville
klage	klage
på	på
grove	grov
beskyldninger	beskyldning
overfor	overfor
meg	jeg
om	om
å	å
være	være
en	en
dårlig	dårlig
mor	mor
.	$.
»	$"

Slik	slik
beskriver	beskrive
en	en
småbarnsmor	småbarnsmor
møtet	møte
med	med
dommer	dommer
Tor	Tor
Bertelsen	Bertelsen
i	i
et	en
klagebrev	klagebrev
til	til
tingretten	tingrett
.	$.

Kvinnen	kvinne
hevder	hevde
at	at
Bertelsen	Bertelsen
,	$,
hennes	hennes
daværende	daværende
ektemann	ektemann
og	og
flere	mange
andre	annen
menn	mann
tok	ta
seg	seg
inn	inn
i	i
huset	hus
hennes	hennes
.	$.

De	de
skal	skulle
ha	ha
skremt	skremme
en	en
av	av
ungene	unge
slik	slik
at	at
barnet	barn
tisset	tisset
på	på
seg	seg
.	$.

Kvinnen	kvinne
skriver	skrive
i	i
klagen	klagen
at	at
opplevelsen	opplevelse
var	være
traumatisk	traumatisk
,	$,
og	og
at	at
hun	hun
flyktet	flyktet
fra	fra
stedet	sted
med	med
barna	barn
kort	kort
tid	tid
etterpå	etterpå
.	$.

Hun	hun
bosatte	bosatte
seg	seg
i	i
en	en
annen	annen
del	del
av	av
landet	land
.	$.

Bertelsen	Bertelsen
mener	mene
historien	historie
er	være
tolket	tolke
i	i
verste	vond
mening	mening
.	$.

-	$-
Jeg	jeg
besøkte	besøke
en	en
venn	venn
,	$,
uten	uten
at	at
jeg	jeg
visste	vite
noe	noe
om	om
at	at
han	han
hadde	ha
problemer	problem
i	i
ekteskapet	ekteskapet
.	$.

Jeg	jeg
kjente	kjenne
ikke	ikke
konen	kone
hans	hans
,	$,
og	og
snakket	snakke
verken	verken
med	med
henne	hun
eller	eller
barna	barn
.	$.

Det	det
var	være
først	først
i	i
ettertid	ettertid
jeg	jeg
fikk	få
vite	vite
at	at
det	det
var	være
en	en
samværskonflikt	samværskonflikt
.	$.

Det	det
er	være
drøyt	drøy
at	at
en	en
dommers	dommers
besøk	besøk
hos	hos
en	en
bekjent	bekjent
skal	skulle
brukes	bruke
som	som
kritikk	kritikk
mot	mot
ham	han
,	$,
sier	si
Bertelsen	Bertelsen
.	$.

Men	men
det	det
er	være
nettopp	nettopp
det	det
som	som
skjer	skje
.	$.

Resultatet	resultat
blir	bli
at	at
hele	hel
Bergen	Bergen
byrett	byrett
blir	bli
funnet	finne
inhabil	inhabil
til	til
å	å
behandle	behandle
barnefordelingssaken	barnefordelingssaken
.	$.

Gulating	Gulating
lagmannsrett	lagmannsrett
refser	refse
Bertelsen	Bertelsen
for	for
opptrinnet	opptrinnet
.	$.

Tre	tre
år	år
senere	sen
,	$,
i	i
juli	juli
2000	2000
,	$,
skriver	skrive
daværende	daværende
byrettsjustitiarius	byrettsjustitiarius
Erik	Erik
Elstad	Elstad
til	til
Justisdepartementet	Justisdepartementet
at	at
saken	sak
lå	ligge
i	i
grenselandet	grenselandet
mellom	mellom
en	en
dommers	dommers
offentlige	offentlig
stilling	stilling
og	og
retten	rett
til	til
å	å
være	være
privatperson	privatperson
.	$.

Elstad	Elstad
mener	mene
at	at
Bertelsen	Bertelsen
burde	burde
