penger	penge
enn	enn
jeg	jeg
bruker	bruke
.	$.

Eller	eller
soveposer	soveposer
og	og
liggeunderlag	liggeunderlag
.	$.

Men	men
nå	nå
er	være
ikke	ikke
jeg	jeg
så	så
god	god
på	på
sånne	sånn
fjellting	fjellting
,	$,
sier	si
Fardal	Fardal
og	og
trekker	trekke
håret	hår
bakover	bakover
.	$.

Noe	noe
skimrer	skimrer
blankt	blankt
under	under
ørene	øre
.	$.

Noe	noen
stort	stor
.	$.

Fardals	Fardal
hang	hang
til	til
ørepynt	ørepynt
av	av
en	en
viss	viss
størrelse	størrelse
ble	bli
nøkternt	nøktern
bemerket	bemerke
i	i
hennes	hennes
eget	egen
40-årslag	40-årslag
.	$.

Journalistene	Journalistene
i	i
Elle	Elle
sang	synge
til	til
henne	hun
med	med
kleshengere	kleshengere
i	i
ørene	øre
.	$.

-	$-
Hva	hva
tar	ta
du	du
med	med
deg	du
på	på
fjellet	fjell
?	$?

-	$-
Det	det
er	være
ikke	ikke
slik	slik
at	at
jeg	jeg
pakker	pakker
i	i
trillekoffert	trillekoffert
på	på
hyttetur	hyttetur
.	$.

Vel	vel
,	$,
jeg	jeg
har	ha
nok	nok
gjort	gjøre
det	det
også	også
.	$.

I	i
helga	helg
skal	skulle
jeg	jeg
på	på
hytta	hytte
til	til
ei	en
venninne	venninne
ved	ved
Damtjern	Damtjern
,	$,
og	og
i	i
dag	dag
fikk	få
jeg	jeg
beskjed	beskjed
om	om
at	at
det	det
kommer	komme
til	til
å	å
være	være
kaldt	kald
og	og
mørkt	mørk
og	og
vi	vi
må	måtte
gå	gå
to	to
kilometer	kilometer
,	$,
vi	vi
må	måtte
ha	ha
hodelykter	hodelykter
og	og
ta	ta
med	med
to	to
liter	liter
vann	vann
hver	hver
til	til
oppvasken	oppvask
.	$.

Da	da
sendte	sende
jeg	jeg
en	en
mail	mail
og	og
spurte	spørre
om	om
det	det
ikke	ikke
er	være
mye	mye
hyggeligere	hyggeligere
å	å
være	være
på	på
Frogner	Frogner
?	$?

Let's	Let's
face	face
it	it
.	$.

Glansede	Glansede
magasinsider	magasinsider
kjenner	kjenne
ingen	ingen
alder	alder
.	$.

De	de
er	være
nådeløse	nådeløs
sånn	sånn
.	$.

-	$-
Hvordan	hvordan
er	være
det	det
å	å
bli	bli
eldre	gammel
mens	mens
jentene	jente
på	på
coveret	cover
av	av
Elle	Elle
holder	holde
seg	seg
like	like
unge	ung
?	$?

-	$-
Jeg	jeg
blir	bli
ikke	ikke
eldre	gammel
.	$.

Jeg	jeg
er	være
jo	jo
29	29
æ	æ
.	$.

Jeg	jeg
har	ha
ei	en
venninne	venninne
som	som
har	ha
et	en
forhold	forhold
til	til
alder	alder
som	som
jeg	jeg
skulle	skulle
ønske	ønske
jeg	jeg
også	også
hadde	ha
.	$.

Hvis	hvis
hun	hun
blir	bli
spurt	spørre
om	om
hvor	hvor
gammel	gammel
hun	hun
er	være
,	$,
hender	hende
det	det
at	at
hun	hun
legger	legge
på	på
et	en
år	år
,	$,
og	og
så	så
sier	si
hun	hun
:	$:

«	$"
I'm	I'm
pushing	pushing
fifty	fifty
,	$,
honey	honey
»	$"
.	$.

-	$-
Hvor	hvor
mye	mye
